Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses
2005-01-04 00:00:00,1188.05,991024.1450139999999464635039,999476.6450139999999464635039,1,147,339570.0,-34.046817,0,0
2005-01-05 00:00:00,1183.75,982092.0235179999999468591909,999469.5235179999999468591909,2,149,337150.0,-39.136308,0,0
2005-01-06 00:00:00,1187.9,990788.4622599999999468245448,999465.9622599999999468245448,3,150,350467.500,-32.523391,0,0
2005-01-07 00:00:00,1186.2,990768.4622599999999468245448,999465.9622599999999468245448,3,150,350447.500,-33.007314,0,0
2005-01-10 00:00:00,1190.25,997910.9622599999999468245448,999465.9622599999999468245448,3,150,357590.00,-28.170328,0,0
2005-01-11 00:00:00,1182.99,994555.9622599999999468245448,999465.9622599999999468245448,3,150,354235.000,-30.904282,0,0
2005-01-12 00:00:00,1187.7,997923.4622599999999468245448,999465.9622599999999468245448,3,150,357602.500,-26.373715,0,0
2005-01-13 00:00:00,1177.45,992685.9622599999999468245448,999465.9622599999999468245448,3,150,352365.00,-32.485578999999994,0,0
2005-01-14 00:00:00,1184.5,999463.4622599999999468245448,999465.9622599999999468245448,3,150,359142.500,-25.597157,0,0
2005-01-18 00:00:00,1196.0,1006280.962259999999946824545,999465.9622599999999468245448,3,150,365960.000,-17.443284999999996,0,0
2005-01-19 00:00:00,1184.65,1002440.962259999999946824545,999465.9622599999999468245448,3,150,362120.00,-25.258415999999997,0,0
2005-01-20 00:00:00,1175.4,992678.4622599999999468245448,999465.9622599999999468245448,3,150,352357.500,-32.538779000000005,0,0
2005-01-21 00:00:00,1167.85,985950.9622599999999468245448,999465.9622599999999468245448,3,150,345630.000,-39.120229,0,0
2005-01-24 00:00:00,1163.75,986295.9622599999999468245448,999465.9622599999999468245448,3,150,345975.000,-40.121455,0,0
2005-01-25 00:00:00,1168.4,994580.9622599999999468245448,999465.9622599999999468245448,3,150,354260.000,-32.679168000000004,0,0
2005-01-26 00:00:00,1174.05,1000220.962259999999946824545,999465.9622599999999468245448,3,150,359900.00,-26.306427,0,0
2005-01-27 00:00:00,1174.55,1003640.962259999999946824545,999465.9622599999999468245448,3,150,363320.000,-22.979882999999997,0,0
2005-01-28 00:00:00,1171.35,1004907.135302999999956430344,1004907.135302999999956430344,0,0,0,0,3,0
2005-01-31 00:00:00,1181.25,1008820.208756999999926140532,1004380.208756999999926140532,1,148,354460.00,-22.799547999999998,3,0
2005-02-01 00:00:00,1189.41,1015850.208756999999926140532,1004380.208756999999926140532,1,148,361490.000,-17.288176,3,0
2005-02-02 00:00:00,1193.19,1015480.208756999999926140532,1004380.208756999999926140532,1,148,361120.000,-15.288844000000001,3,0
2005-02-03 00:00:00,1189.89,1014370.208756999999926140532,1004380.208756999999926140532,1,148,360010.000,-15.908520000000001,3,0
2005-02-04 00:00:00,1203.03,1017700.208756999999926140532,1004380.208756999999926140532,1,148,363340.000,-11.430188,3,0
2005-02-07 00:00:00,1201.72,1016220.208756999999926140532,1004380.208756999999926140532,1,148,361860.00,-10.975236,3,0
2005-02-08 00:00:00,1202.3,1018070.208756999999926140532,1004380.208756999999926140532,1,148,363710.000,-10.65896,3,0
2005-02-09 00:00:00,1191.99,1018070.208756999999926140532,1004380.208756999999926140532,1,148,363710.000,-12.842256,3,0
2005-02-10 00:00:00,1197.01,1017700.208756999999926140532,1004380.208756999999926140532,1,148,363340.00,-10.564092,3,0
2005-02-11 00:00:00,1205.3,1020660.208756999999926140532,1004380.208756999999926140532,1,148,366300.00,-8.793567999999999,3,0
2005-02-14 00:00:00,1206.14,1021030.208756999999926140532,1004380.208756999999926140532,1,148,366670.000,-8.441180000000001,3,0
2005-02-15 00:00:00,1210.12,1021770.208756999999926140532,1004380.208756999999926140532,1,148,367410.000,-7.60276,3,0
2005-02-16 00:00:00,1210.34,1021030.208756999999926140532,1004380.208756999999926140532,1,148,366670.000,-6.9597,3,0
2005-02-17 00:00:00,1200.75,1021030.208756999999926140532,1004380.208756999999926140532,1,148,366670.000,-8.764412000000002,3,0
2005-02-18 00:00:00,1201.59,1021770.208756999999926140532,1004380.208756999999926140532,1,148,367410.000,-7.8389679999999995,3,0
2005-02-22 00:00:00,1184.16,1017700.208756999999926140532,1004380.208756999999926140532,1,148,363340.00,-12.105364000000002,3,0
2005-02-23 00:00:00,1190.8,1018070.208756999999926140532,1004380.208756999999926140532,1,148,363710.000,-8.497716,3,0
2005-02-24 00:00:00,1200.2,1022880.208756999999926140532,1004380.208756999999926140532,1,148,368520.000,-5.87116,3,0
2005-02-25 00:00:00,1211.37,1022279.563373999999916552639,1022279.563373999999916552639,0,0,0,0,4,0
2005-03-02 00:00:00,1210.08,1019940.983024999999904114389,1021830.983024999999904114389,1,126,355320.0,-26.944974000000002,4,0
2005-03-03 00:00:00,1210.47,1018680.983024999999904114389,1021830.983024999999904114389,1,126,354060.0,-27.075636000000003,4,0
2005-03-04 00:00:00,1222.12,1026870.983024999999904114389,1021830.983024999999904114389,1,126,362250.00,-18.399905999999998,4,0
2005-03-07 00:00:00,1225.31,1029075.983024999999904114389,1021830.983024999999904114389,1,126,364455.000,-16.02342,4,0
2005-03-08 00:00:00,1219.43,1027815.983024999999904114389,1021830.983024999999904114389,1,126,363195.000,-17.740296,4,0
2005-03-09 00:00:00,1207.01,1021200.983024999999904114389,1021830.983024999999904114389,1,126,356580.00,-25.205544,4,0
2005-03-10 00:00:00,1209.25,1021830.983024999999904114389,1021830.983024999999904114389,1,126,357210.00,-22.925574,4,0
2005-03-11 00:00:00,1200.08,1016790.983024999999904114389,1021830.983024999999904114389,1,126,352170.00,-28.401029999999995,4,0
2005-03-14 00:00:00,1206.83,1021830.983024999999904114389,1021830.983024999999904114389,1,126,357210.00,-22.300614,4,0
2005-03-15 00:00:00,1197.75,1018050.983024999999904114389,1021830.983024999999904114389,1,126,353430.00,-27.754019999999997,4,0
2005-03-16 00:00:00,1188.07,1001040.983024999999904114389,1021830.983024999999904114389,1,126,336420.0,-36.725472,4,0
2005-03-17 00:00:00,1190.21,1009780.679412499999904273551,1021813.179412499999904273551,2,131,356902.500,-32.825993000000004,4,0
2005-03-18 00:00:00,1189.65,1012980.679412499999904273551,1021813.179412499999904273551,2,131,360102.500,-33.050641999999996,4,0
