Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses
2005-01-04 00:00:00,1188.05,982799.1804900000000202453521,999661.6804900000000202453521,1,95,379050.0,-29.479925,0,0
2005-01-05 00:00:00,1183.75,975982.2744885000000181207725,999579.7744885000000181207725,2,118,435220.0,-38.932918,0,0
2005-01-06 00:00:00,1187.9,986638.7129245000000179466327,999576.2129245000000179466327,3,119,449520.000,-33.415448,0,0
2005-01-07 00:00:00,1186.2,985436.2129245000000179466327,999576.2129245000000179466327,3,119,448317.500,-34.141982,0,0
2005-01-10 00:00:00,1190.25,999653.7129245000000179466327,999576.2129245000000179466327,3,119,462535.00,-29.010399000000003,0,0
2005-01-11 00:00:00,1182.99,990211.2129245000000179466327,999576.2129245000000179466327,3,119,453092.500,-32.903563000000005,0,0
2005-01-12 00:00:00,1187.7,998763.7129245000000179466327,999576.2129245000000179466327,3,119,461645.000,-28.137304999999998,0,0
2005-01-13 00:00:00,1177.45,985038.7129245000000179466327,999576.2129245000000179466327,3,119,447920.00,-35.437290999999995,0,0
2005-01-14 00:00:00,1184.5,996108.7129245000000179466327,999576.2129245000000179466327,3,119,458990.00,-28.681487999999998,0,0
2005-01-18 00:00:00,1196.0,1014071.212924500000017946633,999576.2129245000000179466327,3,119,476952.500,-19.087588999999998,0,0
2005-01-19 00:00:00,1184.65,999898.7129245000000179466327,999576.2129245000000179466327,3,119,462780.00,-28.255815000000002,0,0
2005-01-20 00:00:00,1175.4,986343.7129245000000179466327,999576.2129245000000179466327,3,119,449225.00,-35.697697000000005,0,0
2005-01-21 00:00:00,1167.85,974111.2129245000000179466327,999576.2129245000000179466327,3,119,436992.500,-42.771917,0,0
2005-01-24 00:00:00,1163.75,972491.2129245000000179466327,999576.2129245000000179466327,3,119,435372.500,-44.985405,0,0
2005-01-25 00:00:00,1168.4,985701.2129245000000179466327,999576.2129245000000179466327,3,119,448582.500,-37.86613,0,0
2005-01-26 00:00:00,1174.05,999673.7129245000000179466327,999576.2129245000000179466327,3,119,462555.00,-30.492353,0,0
2005-01-27 00:00:00,1174.55,1003788.712924500000017946633,999576.2129245000000179466327,3,119,466670.000,-27.820058999999997,0,0
2005-01-28 00:00:00,1171.35,1005438.210046500000009794817,1005438.210046500000009794817,0,0,0,0,3,0
2005-01-31 00:00:00,1181.25,1014193.365510500000004734388,1004985.865510500000004734388,1,127,409257.500,-29.251529,3,0
2005-02-01 00:00:00,1189.41,1025182.148000500000014634238,1004914.648000500000014634238,2,147,466217.500,-26.542263000000002,3,0
2005-02-02 00:00:00,1193.19,1030794.648000500000014634238,1004914.648000500000014634238,2,147,471830.000,-22.966641,3,0
2005-02-03 00:00:00,1189.89,1027804.648000500000014634238,1004914.648000500000014634238,2,147,468840.0,-24.872728,3,0
2005-02-04 00:00:00,1203.03,1038312.148000500000014634238,1004914.648000500000014634238,2,147,479347.500,-16.901159,3,0
2005-02-07 00:00:00,1201.72,1036207.148000500000014634238,1004914.648000500000014634238,2,147,477242.500,-17.089733,3,0
2005-02-08 00:00:00,1202.3,1041737.148000500000014634238,1004914.648000500000014634238,2,147,482772.500,-16.058600000000002,3,0
2005-02-09 00:00:00,1191.99,1034704.648000500000014634238,1004914.648000500000014634238,2,147,475740.000,-20.785944,3,0
2005-02-10 00:00:00,1197.01,1037694.648000500000014634238,1004914.648000500000014634238,2,147,478730.00,-17.431721,3,0
2005-02-11 00:00:00,1205.3,1041737.148000500000014634238,1004914.648000500000014634238,2,147,482772.500,-13.679698000000002,3,0
2005-02-14 00:00:00,1206.14,1043942.148000500000014634238,1004914.648000500000014634238,2,147,484977.500,-12.273427,3,0
2005-02-15 00:00:00,1210.12,1045312.148000500000014634238,1004914.648000500000014634238,2,147,486347.500,-11.030403,3,0
2005-02-16 00:00:00,1210.34,1046364.648000500000014634238,1004914.648000500000014634238,2,147,487400.000,-10.456475000000001,3,0
2005-02-17 00:00:00,1200.75,1044527.148000500000014634238,1004914.648000500000014634238,2,147,485562.500,-13.235753,3,0
2005-02-18 00:00:00,1201.59,1046999.648000500000014634238,1004914.648000500000014634238,2,147,488035.000,-11.667142,3,0
2005-02-22 00:00:00,1184.16,1038529.648000500000014634238,1004914.648000500000014634238,2,147,479565.00,-19.49489,3,0
2005-02-23 00:00:00,1190.8,1043892.148000500000014634238,1004914.648000500000014634238,2,147,484927.500,-14.284882999999999,3,0
2005-02-24 00:00:00,1200.2,1045947.148000500000014634238,1004914.648000500000014634238,2,147,486982.500,-9.749132000000001,3,0
2005-02-25 00:00:00,1211.37,1049243.053280250000012907563,1049243.053280250000012907563,0,0,0,0,5,0
2005-02-28 00:00:00,1200.2,1036867.075682250000012496471,1048837.075682250000012496471,1,114,406410.00,-37.957098,5,0
2005-03-01 00:00:00,1210.41,1044107.974874250000011821626,1048772.974874250000011821626,2,132,471315.000,-37.502364,5,0
2005-03-02 00:00:00,1210.08,1042382.974874250000011821626,1048772.974874250000011821626,2,132,469590.00,-39.133638,5,0
2005-03-03 00:00:00,1210.47,1040882.974874250000011821626,1048772.974874250000011821626,2,132,468090.00,-39.064026000000005,5,0
2005-03-04 00:00:00,1222.12,1062227.974874250000011821626,1048772.974874250000011821626,2,132,489435.000,-27.178440000000002,5,0
2005-03-07 00:00:00,1225.31,1062827.974874250000011821626,1048772.974874250000011821626,2,132,490035.000,-24.630695999999997,5,0
2005-03-08 00:00:00,1219.43,1058957.974874250000011821626,1048772.974874250000011821626,2,132,486165.000,-27.396168,5,0
2005-03-09 00:00:00,1207.01,1041947.974874250000011821626,1048772.974874250000011821626,2,132,469155.000,-38.819046,5,0
2005-03-10 00:00:00,1209.25,1046912.974874250000011821626,1048772.974874250000011821626,2,132,474120.00,-35.242902,5,0
2005-03-11 00:00:00,1200.08,1036442.974874250000011821626,1048772.974874250000011821626,2,132,463650.00,-43.62597,5,0
2005-03-14 00:00:00,1206.83,1050919.413463250000011717233,1048769.413463250000011717233,3,133,480410.00,-34.674346,5,0
2005-03-15 00:00:00,1197.75,1033464.413463250000011717233,1048769.413463250000011717233,3,133,462955.000,-44.669715999999994,5,0
2005-03-16 00:00:00,1188.07,1014724.413463250000011717233,1048769.413463250000011717233,3,133,444215.000,-57.238214,5,0
2005-03-17 00:00:00,1190.21,1019027.289366250000011815402,1048762.289366250000011815402,4,135,457695.000,-52.24597000000001,5,0
2005-03-18 00:00:00,1189.65,1017337.289366250000011815402,1048762.289366250000011815402,4,135,456005.000,-53.065101999999996,5,0
2005-03-21 00:00:00,1183.78,1009177.289366250000011815402,1048762.289366250000011815402,4,135,447845.00,-59.29270400000001,5,0
2005-03-22 00:00:00,1171.71,968433.727190250000011806364,1048758.727190250000011806364,5,136,411665.000,-81.267813,5,0
2005-03-23 00:00:00,1172.53,971503.112570250000016747194,1048723.112570250000016747194,6,146,437570.000,-81.78041800000001,5,0
2005-03-24 00:00:00,1171.42,977428.112570250000016747194,1048723.112570250000016747194,6,146,443495.000,-80.56303199999998,5,0
2005-03-28 00:00:00,1174.28,997815.612570250000016747194,1048723.112570250000016747194,6,146,463882.500,-72.72985099999998,5,0
2005-03-29 00:00:00,1165.36,953148.112570250000016747194,1048723.112570250000016747194,6,146,419215.00,-94.62859400000002,5,0
2005-03-30 00:00:00,1181.41,1023374.550496250000016784654,1048719.550496250000016784654,7,147,494955.00,-56.273318,5,0
2005-03-31 00:00:00,1180.59,1019437.050496250000016784654,1048719.550496250000016784654,7,147,491017.500,-58.658167000000006,5,0
2005-04-01 00:00:00,1172.92,997782.050496250000016784654,1048719.550496250000016784654,7,147,469362.500,-72.087229,5,0
2005-04-04 00:00:00,1176.12,1015074.550496250000016784654,1048719.550496250000016784654,7,147,486655.000,-61.814831000000005,5,0
2005-04-05 00:00:00,1181.39,1041839.550496250000016784654,1048719.550496250000016784654,7,147,513420.000,-45.558578,5,0
2005-04-06 00:00:00,1184.07,1058969.550496250000016784654,1048719.550496250000016784654,7,147,530550.000,-36.599624,5,0
2005-04-07 00:00:00,1191.14,1079354.550496250000016784654,1048719.550496250000016784654,7,147,550935.000,-22.505595,5,0
2005-04-08 00:00:00,1181.2,1058942.050496250000016784654,1048719.550496250000016784654,7,147,530522.500,-39.207482,5,0
2005-04-11 00:00:00,1181.21,1071407.050496250000016784654,1048719.550496250000016784654,7,147,542987.500,-33.318409,5,0
2005-04-12 00:00:00,1187.76,1089639.550496250000016784654,1048719.550496250000016784654,7,147,561220.000,-12.790925000000003,5,0
2005-04-13 00:00:00,1173.79,1065259.550496250000016784654,1048719.550496250000016784654,7,147,536840.000,-44.670106000000004,5,0
2005-04-14 00:00:00,1162.05,958504.550496250000016784654,1048719.550496250000016784654,7,147,430085.000,-90.30066300000001,5,0
2005-04-15 00:00:00,1142.62,1088574.550496250000016784654,1048719.550496250000016784654,7,147,560155.00,-6.332000000000001,5,0
2005-04-18 00:00:00,1145.98,1089398.854896250000025004213,1091533.854896250000025004213,5,15,42185.00,-5.310399,7,0
2005-04-19 00:00:00,1152.78,1105682.914261250000038883102,1091195.414261250000038883102,6,110,490107.500,-23.416549,7,0
2005-04-20 00:00:00,1137.5,1081127.230563750000037925859,1091184.730563750000037925859,7,113,472537.500,-35.47607000000001,7,0
2005-04-21 00:00:00,1159.95,1112174.043117750000036592085,1091174.043117750000036592085,8,116,514455.00,-20.561443000000004,7,0
2005-04-22 00:00:00,1152.12,1104689.043117750000036592085,1091174.043117750000036592085,8,116,506970.000,-25.276226,7,0
2005-04-25 00:00:00,1162.1,1113741.543117750000036592085,1091174.043117750000036592085,8,116,516022.500,-20.205072,7,0
2005-04-26 00:00:00,1151.74,1108321.543117750000036592085,1091174.043117750000036592085,8,116,510602.500,-23.344748000000003,7,0
2005-04-27 00:00:00,1156.38,1111806.543117750000036592085,1091174.043117750000036592085,8,116,514087.500,-21.152416999999996,7,0
2005-04-28 00:00:00,1143.22,1093689.043117750000036592085,1091174.043117750000036592085,8,116,495970.00,-30.302863000000006,7,0
2005-04-29 00:00:00,1156.85,1109735.657958750000035674790,1092295.657958750000035674790,3,101,466575.000,-18.781715000000005,10,2
2005-05-02 00:00:00,1162.16,1117652.165038750000034095680,1092267.165038750000034095680,4,109,504040.00,-17.102584,10,2
2005-05-03 00:00:00,1161.17,1117047.165038750000034095680,1092267.165038750000034095680,4,109,503435.000,-16.670204,10,2
2005-05-04 00:00:00,1175.65,1125847.165038750000034095680,1092267.165038750000034095680,4,109,512235.000,-12.078264999999998,10,2
2005-05-05 00:00:00,1172.63,1125742.165038750000034095680,1092267.165038750000034095680,4,109,512130.000,-12.510303,10,2
2005-05-06 00:00:00,1171.35,1124192.165038750000034095680,1092267.165038750000034095680,4,109,510580.000,-12.247182000000002,10,2
2005-05-09 00:00:00,1178.84,1130389.665038750000034095680,1092267.165038750000034095680,4,109,516777.500,-9.538256,10,2
2005-05-10 00:00:00,1166.22,1124759.665038750000034095680,1092267.165038750000034095680,4,109,511147.500,-13.483115999999999,10,2
2005-05-11 00:00:00,1171.11,1127007.165038750000034095680,1092267.165038750000034095680,4,109,513395.00,-11.782208,10,2
2005-05-12 00:00:00,1159.36,1116519.665038750000034095680,1092267.165038750000034095680,4,109,502907.500,-16.035311,10,2
2005-05-13 00:00:00,1154.05,1116682.165038750000034095680,1092267.165038750000034095680,4,109,503070.00,-17.761294,10,2
2005-05-16 00:00:00,1165.69,1127082.165038750000034095680,1092267.165038750000034095680,4,109,513470.000,-12.807533,10,2
2005-05-17 00:00:00,1173.8,1129787.165038750000034095680,1092267.165038750000034095680,4,109,516175.00,-10.238481,10,2
2005-05-18 00:00:00,1185.56,1133067.165038750000034095680,1092267.165038750000034095680,4,109,519455.000,-7.4329909999999995,10,2
2005-05-19 00:00:00,1191.08,1135109.665038750000034095680,1092267.165038750000034095680,4,109,521497.500,-6.692652999999999,10,2
2005-05-20 00:00:00,1189.28,1134499.665038750000034095680,1092267.165038750000034095680,4,109,520887.500,-6.417425000000001,10,2
2005-05-23 00:00:00,1193.86,1135057.165038750000034095680,1092267.165038750000034095680,4,109,521445.000,-5.653165,10,2
2005-05-24 00:00:00,1194.07,1137179.665038750000034095680,1092267.165038750000034095680,4,109,523567.500,-4.5621290000000005,10,2
2005-05-25 00:00:00,1190.01,1136924.665038750000034095680,1092267.165038750000034095680,4,109,523312.500,-4.7144010000000005,10,2
2005-05-26 00:00:00,1197.62,1136474.665038750000034095680,1092267.165038750000034095680,4,109,522862.500,-3.8994099999999996,10,2
2005-05-27 00:00:00,1198.78,1137714.791991500000027937036,1137714.791991500000027937036,0,0,0,0,14,2
2005-05-31 00:00:00,1191.5,1128051.744711500000027282200,1137276.744711500000027282200,1,123,443415.00,-38.180676000000005,14,2
2005-06-01 00:00:00,1202.22,1144366.201591500000025458663,1137216.201591500000025458663,2,140,522350.00,-32.694664,14,2
2005-06-02 00:00:00,1204.29,1150391.201591500000025458663,1137216.201591500000025458663,2,140,528375.00,-27.766539,14,2
2005-06-03 00:00:00,1196.02,1142351.201591500000025458663,1137216.201591500000025458663,2,140,520335.00,-33.953575,14,2
2005-06-06 00:00:00,1197.51,1147166.201591500000025458663,1137216.201591500000025458663,2,140,525150.00,-31.353327999999998,14,2
2005-06-07 00:00:00,1197.26,1143561.201591500000025458663,1137216.201591500000025458663,2,140,521545.00,-31.655506999999997,14,2
2005-06-08 00:00:00,1194.67,1138386.201591500000025458663,1137216.201591500000025458663,2,140,516370.00,-33.800938,14,2
2005-06-09 00:00:00,1200.93,1152426.201591500000025458663,1137216.201591500000025458663,2,140,530410.00,-26.728522000000005,14,2
2005-06-10 00:00:00,1198.11,1149436.201591500000025458663,1137216.201591500000025458663,2,140,527420.00,-28.084158000000002,14,2
2005-06-13 00:00:00,1200.82,1156521.201591500000025458663,1137216.201591500000025458663,2,140,534505.000,-22.951507,14,2
2005-06-14 00:00:00,1203.91,1162268.701591500000025458663,1137216.201591500000025458663,2,140,540252.500,-21.091,14,2
2005-06-15 00:00:00,1206.58,1164803.701591500000025458663,1137216.201591500000025458663,2,140,542787.500,-18.832582000000002,14,2
2005-06-16 00:00:00,1210.96,1169883.701591500000025458663,1137216.201591500000025458663,2,140,547867.500,-14.880369,14,2
2005-06-17 00:00:00,1216.96,1169756.201591500000025458663,1137216.201591500000025458663,2,140,547740.000,-13.715474,14,2
2005-06-20 00:00:00,1216.1,1170668.701591500000025458663,1137216.201591500000025458663,2,140,548652.500,-14.294314,14,2
2005-06-21 00:00:00,1213.61,1173998.701591500000025458663,1137216.201591500000025458663,2,140,551982.500,-11.902027,14,2
2005-06-22 00:00:00,1213.88,1172598.701591500000025458663,1137216.201591500000025458663,2,140,550582.500,-10.772191000000001,14,2
2005-06-23 00:00:00,1200.73,1167921.201591500000025458663,1137216.201591500000025458663,2,140,545905.000,-17.415536,14,2
2005-06-24 00:00:00,1191.57,1162517.988693500000036973321,1162517.988693500000036973321,0,0,0,0,16,2
2005-06-27 00:00:00,1190.69,1171088.481147500000046246529,1162058.481147500000046246529,1,129,470850.0,-35.032272,16,2
2005-06-28 00:00:00,1201.57,1189035.056922500000046394322,1162005.056922500000046394322,2,144,543600.00,-28.866096,16,2
2005-06-29 00:00:00,1199.85,1183275.056922500000046394322,1162005.056922500000046394322,2,144,537840.00,-29.189808,16,2
2005-06-30 00:00:00,1191.33,1181115.056922500000046394322,1162005.056922500000046394322,2,144,535680.00,-35.594784000000004,16,2
2005-07-01 00:00:00,1194.44,1183995.056922500000046394322,1162005.056922500000046394322,2,144,538560.00,-31.067135999999998,16,2
2005-07-05 00:00:00,1204.99,1194435.056922500000046394322,1162005.056922500000046394322,2,144,549000.000,-23.500943999999997,16,2
