Date,UnderlyingPrice,NetLiq,RealizedCapital,NumPositions,TotNumContracts,BuyingPower,TotalDelta,Wins,Losses
2005-01-04 00:00:00,1188.05,991490.1208739999999863812263,999832.6208739999999863812263,1,47,187530.0,-14.584805000000001,0,0
2005-01-05 00:00:00,1183.75,986904.4922624999999811734596,999679.4922624999999811734596,2,90,341230.0,-27.416123,0,0
2005-01-06 00:00:00,1187.9,994711.9922624999999811734596,999679.4922624999999811734596,2,90,349037.500,-23.297883,0,0
2005-01-07 00:00:00,1186.2,993274.4922624999999811734596,999679.4922624999999811734596,2,90,347600.000,-23.699530000000003,0,0
2005-01-10 00:00:00,1190.25,1003244.492262499999981173460,999679.4922624999999811734596,2,90,357570.00,-19.995502000000002,0,0
2005-01-11 00:00:00,1182.99,997519.4922624999999811734596,999679.4922624999999811734596,2,90,351845.000,-22.729121,0,0
2005-01-12 00:00:00,1187.7,1002676.992262499999981173460,999679.4922624999999811734596,2,90,357002.500,-19.252584000000002,0,0
2005-01-13 00:00:00,1177.45,994104.4922624999999811734596,999679.4922624999999811734596,2,90,348430.00,-24.40598,0,0
2005-01-14 00:00:00,1184.5,1002029.492262499999981173460,999679.4922624999999811734596,2,90,356355.00,-19.640886000000002,0,0
2005-01-18 00:00:00,1196.0,1013781.992262499999981173460,999679.4922624999999811734596,2,90,368107.500,-13.142141,0,0
2005-01-19 00:00:00,1184.65,1003889.492262499999981173460,999679.4922624999999811734596,2,90,358215.00,-19.200111,0,0
2005-01-20 00:00:00,1175.4,995004.4922624999999811734596,999679.4922624999999811734596,2,90,349330.00,-24.414141,0,0
2005-01-21 00:00:00,1167.85,987771.9922624999999811734596,999679.4922624999999811734596,2,90,342097.500,-29.463086999999998,0,0
2005-01-24 00:00:00,1163.75,985894.4922624999999811734596,999679.4922624999999811734596,2,90,340220.000,-30.77618,0,0
2005-01-25 00:00:00,1168.4,995270.9305199999999813620376,999675.9305199999999813620376,3,91,354192.500,-25.949413999999997,0,0
2005-01-26 00:00:00,1174.05,1004653.430519999999981362038,999675.9305199999999813620376,3,91,363575.00,-20.655903000000002,0,0
2005-01-27 00:00:00,1174.55,1007745.930519999999981362038,999675.9305199999999813620376,3,91,366667.500,-18.926212,0,0
2005-01-28 00:00:00,1171.35,1008023.136918749999986655297,1007845.636918749999986655297,1,1,4770.00,-0.168343,2,0
